subject,accuracy
S001,82.79569892473118
S002,77.52808988764045
S003,68.64864864864865
S004,67.66467065868264
S005,83.05084745762711
S006,87.91208791208791
S007,57.38636363636363
S008,62.365591397849464
S009,71.91011235955057
S010,65.92178770949721
S011,74.17582417582418
S012,71.97802197802197
S013,89.26553672316385
S014,82.03592814371258
S015,71.8232044198895
S016,87.5
S017,90.9090909090909
S018,73.07692307692307
S019,65.49707602339181
S020,66.11111111111111
S021,71.27071823204419
S022,61.27167630057804
S023,77.77777777777779
S024,59.13978494623656
S025,71.89189189189189
S026,60.0
S027,60.33519553072626
S029,71.80851063829788
S031,84.44444444444444
S032,95.95375722543352
S033,55.49132947976878
S034,73.74301675977654
S035,78.3068783068783
S036,70.43010752688173
S037,78.61271676300578
S038,71.51162790697676
S039,63.1578947368421
S040,78.97727272727273
S041,81.97674418604652
S042,60.0
S043,81.5028901734104
S044,65.74585635359117
S045,86.82634730538922
S046,59.55056179775281
S047,67.02702702702703
S048,64.0
S049,75.95628415300546
S050,87.42857142857143
S051,63.04347826086957
S052,75.29411764705883
S053,88.58695652173914
S054,68.0
S055,82.65895953757226
S056,66.27218934911244
S057,81.62162162162161
S058,62.295081967213115
S060,70.8108108108108
S061,75.40983606557377
S062,71.75141242937853
S063,67.2316384180791
S064,61.53846153846154
S065,56.9060773480663
S066,69.72972972972973
S067,65.55555555555556
S068,79.66101694915254
S069,71.26436781609196
S070,76.34408602150538
S071,57.14285714285714
S072,74.03314917127072
S073,70.87912087912088
S074,70.87912087912088
S075,77.14285714285715
S076,70.32967032967034
S077,76.50273224043715
S078,74.55621301775149
S079,63.04347826086957
S080,71.26436781609196
S081,57.30337078651685
S082,61.111111111111114
S083,76.13636363636364
S084,66.12903225806451
S085,52.197802197802204
S086,58.38150289017341
S087,83.04093567251462
S088,58.88888888888889
S089,68.47826086956522
S090,85.54913294797689
S091,57.714285714285715
S092,67.3913043478261
S093,87.11656441717791
S094,67.41573033707866
S095,63.888888888888886
S096,73.25581395348837
S097,50.0
S098,69.39890710382514
S099,81.00558659217877
S100,77.22222222222223
S101,70.27027027027027
S102,68.90243902439023
S103,87.28323699421965
S104,77.90697674418605
S105,76.8361581920904
S106,73.14285714285714
S107,62.430939226519335
S109,81.66666666666667
S110,66.29834254143645
S111,76.50273224043715
S112,80.76923076923077
S113,76.40449438202246
S114,87.86127167630057
S115,69.35483870967742
S116,72.31638418079096
S117,80.11049723756905
S118,68.10810810810811
S119,62.56983240223464
S120,95.02762430939227
S121,87.71929824561403
S122,77.24867724867724
S123,66.85714285714286
S124,71.02272727272727
S125,48.333333333333336
S126,66.12021857923497
S127,88.57142857142857
S128,72.31638418079096
S129,72.1590909090909
S130,74.15730337078652
S131,56.97674418604651
S132,65.93406593406593
S133,64.86486486486487
S134,75.30120481927712
