subject,accuracy,recall,precision,f1,tn,fn,fp,tp

1,85.61999999999999,0.8641975308641975,0.8641975308641975,0.8641975308641975,0.8472222222222222,0.13580246913580246,0.1527777777777778,0.8641975308641975
10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
14,75.56,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8,0.16,0.35,0.72
15,67.36999999999999,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.26,0.4,0.64
17,68.55,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7,0.28125,0.35,0.671875
19,60.84,0.6307692307692307,0.6307692307692307,0.6307692307692307,0.6326530612244898,0.34285714285714286,0.44387755102040816,0.5857142857142857
2,58.699999999999996,0.6013513513513513,0.6013513513513513,0.6013513513513513,0.553030303030303,0.4097222222222222,0.4166666666666667,0.6180555555555556
20,63.55,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7653061224489796,0.21904761904761905,0.5204081632653061,0.5142857142857142
21,68.89,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7,0.24,0.4,0.68
23,60.11,0.7282608695652174,0.7282608695652174,0.7282608695652174,0.8641304347826086,0.13020833333333334,0.6793478260869565,0.3489583333333333
25,70.53,0.7311827956989247,0.7311827956989247,0.7311827956989247,0.7252747252747253,0.25252525252525254,0.34065934065934067,0.6868686868686869
28,53.900000000000006,0.5725593667546174,0.5725593667546174,0.5725593667546174,0.7070524412296564,0.2817391304347826,0.6473779385171791,0.3773913043478261
29,55.879999999999995,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.796875,0.18055555555555555,0.734375,0.3472222222222222
3,74.76,0.7682619647355163,0.7682619647355163,0.7682619647355163,0.77,0.21904761904761905,0.2875,0.7261904761904762
30,82.37,0.833605220228385,0.833605220228385,0.833605220228385,0.83,0.1632,0.19,0.8176
31,75.83,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8214285714285714,0.15625,0.3392857142857143,0.703125
32,63.89,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.25,0.6,0.0625,0.95
33,64.29,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.25,0.5,0.625
35,66.56,0.6631376323387873,0.6631376323387873,0.6631376323387873,0.63579604578564,0.3528225806451613,0.3152965660770031,0.6945564516129032
36,97.22,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9375,0.05,0.0,1.0
37,54.55,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.8333333333333334,0.0,1.0
38,66.67,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.75
39,60.129999999999995,0.6282051282051282,0.6282051282051282,0.6282051282051282,0.5972222222222222,0.35802469135802467,0.4444444444444444,0.6049382716049383
6,77.7,0.8298969072164949,0.8298969072164949,0.8298969072164949,0.8428571428571429,0.14666666666666667,0.3047619047619048,0.7155555555555555
