subj,accuracy,cm,best_epoch
1,87.5,"[[ nan  nan  nan]
 [0.   0.75 0.25]
 [0.   0.   1.  ]]",9
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",22
14,75.0,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.33333333 0.66666667]]",10
15,88.89,"[[       nan        nan        nan]
 [0.         0.77777778 0.22222222]
 [0.         0.         1.        ]]",22
17,93.33,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.06666667 0.93333333]]",11
19,87.5,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.1875 0.8125]]",12
2,61.53999999999999,"[[       nan        nan        nan]
 [0.         0.53846154 0.46153846]
 [0.         0.30769231 0.69230769]]",9
20,70.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.  1. ]]",7
21,70.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.  1. ]]",3
23,77.78,"[[       nan        nan        nan]
 [0.         0.77777778 0.22222222]
 [0.         0.22222222 0.77777778]]",10
25,72.72999999999999,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.36363636 0.63636364]]",10
28,89.29,"[[       nan        nan        nan]
 [0.         0.89285714 0.10714286]
 [0.         0.10714286 0.89285714]]",27
29,85.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.2 0.8]]",30
3,80.43,"[[       nan        nan        nan]
 [0.         0.7826087  0.2173913 ]
 [0.         0.17391304 0.82608696]]",16
30,87.03999999999999,"[[       nan        nan        nan]
 [0.         0.85185185 0.14814815]
 [0.         0.11111111 0.88888889]]",27
31,62.5,"[[  nan   nan   nan]
 [0.    0.625 0.375]
 [0.    0.375 0.625]]",23
32,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",10
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",16
35,82.35,"[[       nan        nan        nan]
 [0.         0.76470588 0.23529412]
 [0.         0.11764706 0.88235294]]",19
36,70.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.4 0.6]]",7
37,70.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.4 0.6]]",10
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]",1
39,75.0,"[[nan nan nan]
 [0.  0.7 0.3]
 [0.  0.2 0.8]]",9
6,82.35,"[[       nan        nan        nan]
 [0.         0.82352941 0.17647059]
 [0.         0.17647059 0.82352941]]",8
