subj,accuracy,cm,best_epoch

1,93.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.    1.   ]]",5

10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3

14,91.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.16666667 0.83333333]]",16

15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5

17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",5

19,93.75,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.0625 0.9375]]",5

2,96.15,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.07692308 0.92307692]]",17

20,73.33,"[[       nan        nan        nan]
 [0.         0.6        0.4       ]
 [0.         0.13333333 0.86666667]]",4

21,70.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.  1. ]]",2

23,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",20

25,86.36,"[[       nan        nan        nan]
 [0.         0.72727273 0.27272727]
 [0.         0.         1.        ]]",7

28,87.5,"[[       nan        nan        nan]
 [0.         0.85714286 0.14285714]
 [0.         0.10714286 0.89285714]]",4

29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",5

3,82.61,"[[       nan        nan        nan]
 [0.         0.82608696 0.17391304]
 [0.         0.17391304 0.82608696]]",4

30,92.58999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.07407407 0.92592593]]",6

31,68.75,"[[  nan   nan   nan]
 [0.    0.625 0.375]
 [0.    0.25  0.75 ]]",7

32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",9

33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3

35,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.79411765 0.20588235]
 [0.         0.08823529 0.91176471]]",4

36,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",6

37,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",3

38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]",1

39,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",10

6,88.24,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23529412 0.76470588]]",14
